Point	Row	Column	_s_FWHM
1	1	1	0.6758303
2	1	2	0.66126299
3	1	3	0.6392644
4	1	4	0.62151647
5	1	5	0.59433258
6	1	6	0.56682336
7	1	7	0.54518807
8	1	8	0.52764559
9	1	9	0.50940138
10	1	10	0.48414356
11	1	11	0.4742384
12	2	1	0.69969648
13	2	2	0.69096613
14	2	3	0.67600161
15	2	4	0.65752786
16	2	5	0.6364848
17	2	6	0.61376905
18	2	7	0.59621
19	2	8	0.58376992
20	2	9	0.5627656
21	2	10	0.54568863
22	2	11	0.52943075
23	3	1	0.70061511
24	3	2	0.69574749
25	3	3	0.6865384
26	3	4	0.67456472
27	3	5	0.66314191
28	3	6	0.65692168
29	3	7	0.63915962
30	3	8	0.62810379
31	3	9	0.61451375
32	3	10	0.60029101
33	3	11	0.58169127
34	4	1	0.67851943
35	4	2	0.67881417
36	4	3	0.67475802
37	4	4	0.6738106
38	4	5	0.67082715
39	4	6	0.66444379
40	4	7	0.66076797
41	4	8	0.65527058
42	4	9	0.64290398
43	4	10	0.63967854
44	4	11	0.62319779
