Point	Row	Column	a_Ang
1	1	1	4.152329
2	1	2	4.1527638
3	1	3	4.1551609
4	1	4	4.1558986
5	1	5	4.1566954
6	1	6	4.1570349
7	1	7	4.1566463
8	1	8	4.1558089
9	1	9	4.1547871
10	1	10	4.1553288
11	1	11	4.1553497
12	2	1	4.1533642
13	2	2	4.1506634
14	2	3	4.1495061
15	2	4	4.1504178
16	2	5	4.1511621
17	2	6	4.1527534
18	2	7	4.1542611
19	2	8	4.1522202
20	2	9	4.1534276
21	2	10	4.1562047
22	2	11	4.1584129
23	3	1	4.1481075
24	3	2	4.1487346
25	3	3	4.1499043
26	3	4	4.1489663
27	3	5	4.1475005
28	3	6	4.1461053
29	3	7	4.1466479
30	3	8	4.1464581
31	3	9	4.1479931
32	3	10	4.1518703
33	3	11	4.1556029
34	4	1	4.1431093
35	4	2	4.1469269
36	4	3	4.1502442
37	4	4	4.1537085
38	4	5	4.1562147
39	4	6	4.1541934
40	4	7	4.1545224
41	4	8	4.1524839
42	4	9	4.1511016
43	4	10	4.1482916
44	4	11	4.1485333
