Point	Row	Column	MaxInt_200
1	1	1	229.08052
2	1	2	249.23106
3	1	3	203.23854
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	270.6033
13	2	2	276.70215
14	2	3	309.18753
15	2	4	309.31079
16	2	5	289.47342
17	2	6	255.12794
18	2	7	
19	2	8	272.14471
20	2	9	248.62651
21	2	10	253.9613
22	2	11	
23	3	1	282.78915
24	3	2	296.7742
25	3	3	277.33899
26	3	4	256.51242
27	3	5	365.83365
28	3	6	363.34097
29	3	7	364.82504
30	3	8	494.62567
31	3	9	466.39548
32	3	10	281.59726
33	3	11	219.70514
34	4	1	625.68787
35	4	2	338.72177
36	4	3	266.02066
37	4	4	
38	4	5	210.83968
39	4	6	241.43182
40	4	7	
41	4	8	312.03098
42	4	9	407.38831
43	4	10	806.11084
44	4	11	743.36615
