Point	Row	Column	Pos_200
1	1	1	43.557434
2	1	2	43.579132
3	1	3	43.588112
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	43.576733
13	2	2	43.570347
14	2	3	43.527943
15	2	4	43.589928
16	2	5	43.538055
17	2	6	43.527859
18	2	7	
19	2	8	43.60223
20	2	9	43.593143
21	2	10	43.593826
22	2	11	
23	3	1	43.530754
24	3	2	43.515083
25	3	3	43.549782
26	3	4	43.525902
27	3	5	43.554321
28	3	6	43.587597
29	3	7	43.572651
30	3	8	43.61182
31	3	9	43.581478
32	3	10	43.519974
33	3	11	43.541134
34	4	1	43.562958
35	4	2	43.547215
36	4	3	43.497219
37	4	4	
38	4	5	43.422157
39	4	6	43.498604
40	4	7	
41	4	8	43.51136
42	4	9	43.496239
43	4	10	43.538696
44	4	11	43.543041
