Point	Row	Column	PeakArea_110
1	1	1	13.751468
2	1	2	13.404361
3	1	3	13.462262
4	1	4	13.764696
5	1	5	14.001526
6	1	6	13.88855
7	1	7	12.544045
8	1	8	12.146964
9	1	9	11.638011
10	1	10	13.20945
11	1	11	13.310043
12	2	1	12.971884
13	2	2	11.937722
14	2	3	11.413801
15	2	4	11.304211
16	2	5	11.522798
17	2	6	11.344632
18	2	7	11.35861
19	2	8	10.844386
20	2	9	10.766316
21	2	10	10.696271
22	2	11	10.909152
23	3	1	11.599578
24	3	2	11.728874
25	3	3	11.861424
26	3	4	11.568391
27	3	5	11.18625
28	3	6	11.329641
29	3	7	11.470521
30	3	8	11.818139
31	3	9	11.608086
32	3	10	11.091972
33	3	11	10.836397
34	4	1	12.560024
35	4	2	12.438846
36	4	3	12.156571
37	4	4	12.417162
38	4	5	12.430959
39	4	6	12.404449
40	4	7	12.376062
41	4	8	12.263762
42	4	9	12.586123
43	4	10	12.797772
44	4	11	11.773449
