Point	Row	Column	Ratio_200_110
1	1	1	0.047039699
2	1	2	0.048951693
3	1	3	0.035554975
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	0.050507072
13	2	2	0.05369417
14	2	3	0.058204595
15	2	4	0.056560624
16	2	5	0.051116969
17	2	6	0.045026124
18	2	7	
19	2	8	0.052091312
20	2	9	0.050028432
21	2	10	0.055020701
22	2	11	
23	3	1	0.066401564
24	3	2	0.06371592
25	3	3	0.054982398
26	3	4	0.048139423
27	3	5	0.065814316
28	3	6	0.063428685
29	3	7	0.062741719
30	3	8	0.082911506
31	3	9	0.083468296
32	3	10	0.062648036
33	3	11	0.055977989
34	4	1	0.14953603
35	4	2	0.079786219
36	4	3	0.063576341
37	4	4	
38	4	5	0.045079198
39	4	6	0.050699297
40	4	7	
41	4	8	0.067807056
42	4	9	0.086194232
43	4	10	0.16665305
44	4	11	0.17510186
