Point	Row	Column	Co_at
1	1	1	0.16343379
2	1	2	0.1707755
3	1	3	0.17956179
4	1	4	0.18839072
5	1	5	0.19770481
6	1	6	0.20914409
7	1	7	0.21734442
8	1	8	0.2268907
9	1	9	0.2339346
10	1	10	0.24159297
11	1	11	0.243608
12	2	1	0.14953181
13	2	2	0.15428059
14	2	3	0.1600951
15	2	4	0.16676171
16	2	5	0.17332441
17	2	6	0.18081962
18	2	7	0.1883245
19	2	8	0.19512908
20	2	9	0.2007838
21	2	10	0.2076295
22	2	11	0.21089567
23	3	1	0.14062829
24	3	2	0.14202452
25	3	3	0.14521641
26	3	4	0.14702828
27	3	5	0.15017518
28	3	6	0.15135522
29	3	7	0.15663449
30	3	8	0.15934961
31	3	9	0.16349128
32	3	10	0.1675899
33	3	11	0.16984452
34	4	1	0.13513599
35	4	2	0.13271929
36	4	3	0.13208631
37	4	4	0.13182171
38	4	5	0.13034199
39	4	6	0.1295767
40	4	7	0.129867
41	4	8	0.13131011
42	4	9	0.1317763
43	4	10	0.13324009
44	4	11	0.1340463
