Point	Row	Column	_s_Sigma
1	1	1	0.059027195
2	1	2	0.0559064
3	1	3	0.061105002
4	1	4	0.063276604
5	1	5	0.066519603
6	1	6	0.067593791
7	1	7	0.068865806
8	1	8	0.069355801
9	1	9	0.070736602
10	1	10	0.069102392
11	1	11	0.088461399
12	2	1	0.071787611
13	2	2	0.070109792
14	2	3	0.074038401
15	2	4	0.076720804
16	2	5	0.086305998
17	2	6	0.089261808
18	2	7	0.092682198
19	2	8	0.089009792
20	2	9	0.090297602
21	2	10	0.089721203
22	2	11	0.08751639
23	3	1	0.082999989
24	3	2	0.087554611
25	3	3	0.090657003
26	3	4	0.099804588
27	3	5	0.10616139
28	3	6	0.11512761
29	3	7	0.115564
30	3	8	0.1182766
31	3	9	0.11948979
32	3	10	0.119566
33	3	11	0.11992401
34	4	1	0.097779803
35	4	2	0.1083716
36	4	3	0.1140628
37	4	4	0.1233068
38	4	5	0.13181359
39	4	6	0.1444958
40	4	7	0.141699
41	4	8	0.144109
42	4	9	0.1525262
43	4	10	0.14827679
44	4	11	0.141224
