Point	Row	Column	110_s_MaxIntensity
1	1	1	0.82342017
2	1	2	0.85365874
3	1	3	0.87468684
4	1	4	0.88587344
5	1	5	0.8870514
6	1	6	0.87849224
7	1	7	0.86084116
8	1	8	0.83503175
9	1	9	0.80219513
10	1	10	0.76357931
11	1	11	0.72047961
12	2	1	0.91893947
13	2	2	0.95537758
14	2	3	0.981489
15	2	4	0.99646038
16	2	5	1
17	2	6	0.99231285
18	2	7	0.97403175
19	2	8	0.94612843
20	2	9	0.90982044
21	2	10	0.86648893
22	2	11	0.81760675
23	3	1	0.89593172
24	3	2	0.93331105
25	3	3	0.96114516
26	3	4	0.97855127
27	3	5	0.98509896
28	3	6	0.98080021
29	3	7	0.96606475
30	3	8	0.94163883
31	3	9	0.90853894
32	3	10	0.86799014
33	3	11	0.82136583
34	4	1	0.76835954
35	4	2	0.80099767
36	4	3	0.82623404
37	4	4	0.84324008
38	4	5	0.85156226
39	4	6	0.85102361
40	4	7	0.84176397
41	4	8	0.82420486
42	4	9	0.79901719
43	4	10	0.76708597
44	4	11	0.72946852
