Point	Row	Column	Pos_111
1	1	1	37.442387
2	1	2	37.434231
3	1	3	37.406197
4	1	4	37.385658
5	1	5	37.376961
6	1	6	37.375183
7	1	7	37.377766
8	1	8	37.387108
9	1	9	37.395348
10	1	10	37.373489
11	1	11	37.38401
12	2	1	37.427238
13	2	2	37.472496
14	2	3	37.492973
15	2	4	37.482132
16	2	5	37.464828
17	2	6	37.443451
18	2	7	37.413567
19	2	8	37.448353
20	2	9	37.437542
21	2	10	37.389389
22	2	11	37.370136
23	3	1	37.506508
24	3	2	37.498955
25	3	3	37.491161
26	3	4	37.499886
27	3	5	37.512032
28	3	6	37.513794
29	3	7	37.507481
30	3	8	37.504719
31	3	9	37.488369
32	3	10	37.464027
33	3	11	37.421394
34	4	1	37.520893
35	4	2	37.520336
36	4	3	37.48674
37	4	4	37.459892
38	4	5	37.434353
39	4	6	37.454956
40	4	7	37.447075
41	4	8	37.459801
42	4	9	37.4711
43	4	10	37.467106
44	4	11	37.472786
