Point	Row	Column	110_s_Area
1	1	1	0.012468198
2	1	2	0.0134364
3	1	3	0.0135436
4	1	4	0.013456602
5	1	5	0.0153698
6	1	6	0.016143398
7	1	7	0.016859801
8	1	8	0.0168346
9	1	9	0.0197412
10	1	10	0.025044797
11	1	11	0.042013999
12	2	1	0.014018001
13	2	2	0.014940399
14	2	3	0.015950801
15	2	4	0.015894601
16	2	5	0.016838601
17	2	6	0.017352201
18	2	7	0.019519201
19	2	8	0.020553598
20	2	9	0.023442799
21	2	10	0.029747
22	2	11	0.041595597
23	3	1	0.018972399
24	3	2	0.018473601
25	3	3	0.020180199
26	3	4	0.021533998
27	3	5	0.023851398
28	3	6	0.025167802
29	3	7	0.026877001
30	3	8	0.027384
31	3	9	0.030391997
32	3	10	0.0350518
33	3	11	0.049037404
34	4	1	0.026947601
35	4	2	0.025223801
36	4	3	0.0273834
37	4	4	0.026936
38	4	5	0.030283798
39	4	6	0.031087199
40	4	7	0.033360001
41	4	8	0.033971399
42	4	9	0.03607
43	4	10	0.043928795
44	4	11	0.0614856
