FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01253,1,1,1,4.1362896000000005,0.46557233,0.42374808,0.53398615,3999.0405,542.90015,1130.7433,30.527887,37.648312,43.70557,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,24_May_2017,Pulsed Laser Deposition,BZC91/ BZF19,700.0,19.3,850,N,400.0,20,0.1,SiO2,0,57,94,0,0,0,0,75.5,0,0,180,0,0,0,0
Ba1.0O3,01253,2,1,2,4.1404524,0.49970669,0.41790926,0.50700593,2695.7112,441.79000999999994,1416.3975,30.496449,37.608337,43.620483,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,24_May_2017,Pulsed Laser Deposition,BZC91/ BZF19,700.0,19.3,850,N,400.0,20,0.1,SiO2,0,57,94,0,0,0,0,75.5,0,0,180,0,0,0,0
Ba1.0O3,01253,3,1,3,4.1418839,0.49653465,0.35125327,0.55579948,2260.1182,407.74652000000003,1067.8927,30.485653000000003,37.591915,43.566425,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,24_May_2017,Pulsed Laser Deposition,BZC91/ BZF19,700.0,19.3,850,N,400.0,20,0.1,SiO2,0,57,94,0,0,0,0,75.5,0,0,180,0,0,0,0
Ba1.0O3,01253,4,1,4,4.1426616,0.49569523,0.35059518,0.53720105,1805.0481,323.63419,738.41711,30.479794000000002,37.577881,43.544478999999995,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,24_May_2017,Pulsed Laser Deposition,BZC91/ BZF19,700.0,19.3,850,N,400.0,20,0.1,SiO2,0,57,94,0,0,0,0,75.5,0,0,180,0,0,0,0
Ba1.0O3,01253,5,1,5,4.1459904000000005,0.48965809,,,896.06647,,,30.454725,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,24_May_2017,Pulsed Laser Deposition,BZC91/ BZF19,700.0,19.3,850,N,400.0,20,0.1,SiO2,0,57,94,0,0,0,0,75.5,0,0,180,0,0,0,0
Ba1.0O3,01253,6,1,6,,,,,,,,,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,24_May_2017,Pulsed Laser Deposition,BZC91/ BZF19,700.0,19.3,850,N,400.0,20,0.1,SiO2,0,57,94,0,0,0,0,75.5,0,0,180,0,0,0,0
Ba1.0O3,01253,7,1,7,,,,,,,,,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,24_May_2017,Pulsed Laser Deposition,BZC91/ BZF19,700.0,19.3,850,N,400.0,20,0.1,SiO2,0,57,94,0,0,0,0,75.5,0,0,180,0,0,0,0
Ba1.0O3,01253,8,1,8,,,,,,,,,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,24_May_2017,Pulsed Laser Deposition,BZC91/ BZF19,700.0,19.3,850,N,400.0,20,0.1,SiO2,0,57,94,0,0,0,0,75.5,0,0,180,0,0,0,0
Ba1.0O3,01253,9,1,9,,,,,,,,,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,24_May_2017,Pulsed Laser Deposition,BZC91/ BZF19,700.0,19.3,850,N,400.0,20,0.1,SiO2,0,57,94,0,0,0,0,75.5,0,0,180,0,0,0,0
Ba1.0O3,01253,10,1,10,,,,,,,,,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,24_May_2017,Pulsed Laser Deposition,BZC91/ BZF19,700.0,19.3,850,N,400.0,20,0.1,SiO2,0,57,94,0,0,0,0,75.5,0,0,180,0,0,0,0
