Point	Ba_at	Zr_at	Y_at	Co_at	Fe_at
1	0.45626107	0.47730654	0.042534564	0.01540223	0.0084955934
2	0.45547399	0.47670159	0.044294849	0.015132746	0.0083968304
3	0.45135912	0.47516546	0.05019141	0.015370982	0.0079130335
4	0.43161142	0.49362278	0.049761351	0.015873251	0.0091312015
5	0.46312845	0.47543573	0.049104832	0.0073258113	0.0050051794
6	0.46484071	0.46716201	0.05504762	0.005950755	0.0069989213
7	0.4647091	0.46507517	0.056927178	0.0057178582	0.0075707086
8	0.46526766	0.45840245	0.062122818	0.0055197272	0.0086873323
9	0.46611798	0.45273161	0.065336362	0.0043785623	0.011435491
10	0.43629131	0.45535868	0.081941992	0.0068610129	0.019547014
11	0.45703477	0.4309679	0.086577617	-0.00012729749	0.025546998
12	0.45510429	0.4770368	0.043089293	0.015653361	0.0091162417
13	0.45417532	0.47637373	0.044949464	0.015416957	0.0090845255
14	0.45013767	0.47488487	0.050630957	0.015543391	0.0088030938
15	0.43347558	0.48942223	0.051755618	0.015526997	0.0098195421
16	0.45256922	0.46538612	0.055517208	0.014123308	0.012404135
17	0.45398098	0.45793042	0.06098298	0.012900364	0.014205245
18	0.45412871	0.45537478	0.063088477	0.012542824	0.014865202
19	0.45438141	0.44889486	0.06850253	0.012289918	0.015931292
20	0.45492172	0.44343773	0.071721815	0.011300866	0.01861787
21	0.43714151	0.45174858	0.083788969	0.0069395355	0.020381417
22	0.45591789	0.42996427	0.087070473	0.00074231089	0.026305042
23	0.45364413	0.47791195	0.043596286	0.015249767	0.00959785
24	0.45235613	0.47710007	0.045716029	0.015094556	0.0097331991
25	0.44848856	0.47572085	0.050892778	0.014942815	0.0099549787
26	0.43533978	0.48522171	0.053749889	0.015180741	0.010507883
27	0.45016497	0.4653782	0.05778851	0.013547726	0.01312059
28	0.45098168	0.45921308	0.06260366	0.012579672	0.014621922
29	0.45181572	0.45529518	0.065445378	0.011889289	0.015554442
30	0.45135462	0.44868875	0.071879238	0.011481379	0.016596019
31	0.4511975	0.44324878	0.075405933	0.010768552	0.019379243
32	0.43799171	0.44813848	0.085635945	0.0070180586	0.021215821
33	0.45481068	0.42896932	0.087559067	0.0016043946	0.027056532
34	0.46015379	0.49000612	0.038793653	0.0075670369	0.0034794118
35	0.45809838	0.48886594	0.041511748	0.007568337	0.0039555859
36	0.45442382	0.48765266	0.045877468	0.0068536601	0.0051923925
37	0.43732822	0.48074117	0.055877108	0.014811402	0.011242111
38	0.45204717	0.472433	0.058506608	0.0074459137	0.0095673092
39	0.45171478	0.46864414	0.06216966	0.0069532664	0.01051815
40	0.45391968	0.46192926	0.066551998	0.0055853343	0.01201373
41	0.45202893	0.45489758	0.07517381	0.0048639015	0.013035791
42	0.45049134	0.44934198	0.079419859	0.0046757432	0.016071083
43	0.43889859	0.44428769	0.087606058	0.0071018161	0.022105852
44	0.45364013	0.42791751	0.088075586	0.0025157663	0.027850982
45	0.45895851	0.48867366	0.039534323	0.008451174	0.0043823291
46	0.45691255	0.48753873	0.042239927	0.0084524676	0.0048563154
47	0.45325485	0.48633108	0.046585586	0.0077410745	0.0060874396
48	0.43919238	0.47654065	0.057871379	0.014465147	0.011930452
49	0.45115978	0.47147378	0.059004787	0.0081238672	0.010237793
50	0.45082852	0.46769828	0.062654942	0.007632954	0.011185287
51	0.45302564	0.46100706	0.067021847	0.0062698377	0.0126756
52	0.45114157	0.45400012	0.075613312	0.0055509452	0.013694062
53	0.4496094	0.44846407	0.0798444	0.0053634495	0.016718669
54	0.43974879	0.44067758	0.089453034	0.0071803387	0.022940258
55	0.4525525	0.42694017	0.088555522	0.0033626053	0.028589182
56	0.45784786	0.48743558	0.040222537	0.0092727058	0.0052213115
57	0.4558107	0.48630551	0.042916544	0.0092739929	0.0056932648
58	0.45216864	0.48510301	0.047243562	0.0085656513	0.0069191088
59	0.44105655	0.47234014	0.059865646	0.014118891	0.012618792
60	0.45027858	0.47052133	0.059499461	0.0087970626	0.010903572
61	0.44994849	0.46675909	0.063136809	0.0083078723	0.011847741
62	0.45213792	0.46009132	0.067488402	0.0069495384	0.013332826
63	0.45026043	0.45310897	0.076049715	0.0062331674	0.014347715
