Point	Row	Column	110_s_MaxIntensity
1	1	1	0.83811247
2	1	2	0.8676312
3	1	3	0.88265407
4	1	4	0.88216072
5	1	5	0.86618501
6	1	6	0.83581036
7	1	7	0.79302144
8	1	8	0.74044627
9	1	9	0.68103909
10	1	10	0.61777043
11	1	11	0.55336434
12	2	1	0.94763237
13	2	2	0.98232228
14	2	3	1
15	2	4	0.99941921
16	2	5	0.98062134
17	2	6	0.94492948
18	2	7	0.89476115
19	2	8	0.83330202
20	2	9	0.76411045
21	2	10	0.69073355
22	2	11	0.61638927
23	3	1	0.89973789
24	3	2	0.93214172
25	3	3	0.94864529
26	3	4	0.94810313
27	3	5	0.93055344
28	3	6	0.89721209
29	3	7	0.85030347
30	3	8	0.7927646
31	3	9	0.72788519
32	3	10	0.65895665
33	3	11	0.58897883
34	4	1	0.72304833
35	4	2	0.74736029
36	4	3	0.75971764
37	4	4	0.75930905
38	4	5	0.74617028
39	4	6	0.72115022
40	4	7	0.68581444
41	4	8	0.64224738
42	4	9	0.59280974
43	4	10	0.53989869
44	4	11	0.48574018
