Point	Row	Column	110_s_Position
1	1	1	0.90804964
2	1	2	0.91429257
3	1	3	0.91398537
4	1	4	0.9155103
5	1	5	0.91874212
6	1	6	0.91702729
7	1	7	0.91953367
8	1	8	0.92252839
9	1	9	0.92135131
10	1	10	0.91159999
11	1	11	0.90585607
12	2	1	0.90903342
13	2	2	0.91266131
14	2	3	0.91367787
15	2	4	0.91112065
16	2	5	0.91094422
17	2	6	0.9125123
18	2	7	0.9151268
19	2	8	0.91266167
20	2	9	0.916435
21	2	10	0.91706109
22	2	11	0.91755015
23	3	1	0.91013253
24	3	2	0.91006023
25	3	3	0.90962785
26	3	4	0.90894127
27	3	5	0.91070652
28	3	6	0.90827698
29	3	7	0.91130692
30	3	8	0.90973473
31	3	9	0.91455072
32	3	10	0.91551316
33	3	11	0.91441429
34	4	1	0.91841596
35	4	2	0.91615629
36	4	3	0.91309369
37	4	4	0.91160578
38	4	5	0.91464257
39	4	6	0.91605926
40	4	7	0.91241628
41	4	8	0.91704595
42	4	9	0.91428936
43	4	10	0.9153164
44	4	11	0.91641212
