Point	Row	Column	Pos_200
1	1	1	44.088844
2	1	2	44.135906
3	1	3	44.215134
4	1	4	44.271595
5	1	5	44.254524
6	1	6	44.25053
7	1	7	44.177029
8	1	8	44.11356
9	1	9	44.039253
10	1	10	
11	1	11	
12	2	1	44.027893
13	2	2	44.16703
14	2	3	44.29636
15	2	4	44.355782
16	2	5	44.406174
17	2	6	44.411301
18	2	7	44.400188
19	2	8	44.350891
20	2	9	44.330589
21	2	10	44.200726
22	2	11	44.064941
23	3	1	44.012455
24	3	2	44.262634
25	3	3	44.322498
26	3	4	44.38839
27	3	5	44.440968
28	3	6	44.451267
29	3	7	44.427994
30	3	8	
31	3	9	
32	3	10	44.283733
33	3	11	44.18428
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	44.389011
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
