Point	Row	Column	Norm_Int110
1	1	1	13.434908
2	1	2	16.518238
3	1	3	17.666906
4	1	4	16.58325
5	1	5	16.287216
6	1	6	15.34606
7	1	7	14.868848
8	1	8	13.705268
9	1	9	11.153115
10	1	10	11.020203
11	1	11	12.648309
12	2	1	15.858562
13	2	2	19.613735
14	2	3	12.954462
15	2	4	8.7369537
16	2	5	7.6243191
17	2	6	7.5737762
18	2	7	7.7030325
19	2	8	8.2756662
20	2	9	9.9830112
21	2	10	13.554699
22	2	11	13.50576
23	3	1	16.458565
24	3	2	18.454842
25	3	3	9.9692469
26	3	4	8.0235186
27	3	5	7.2526426
28	3	6	6.8223777
29	3	7	6.456389
30	3	8	6.9863329
31	3	9	7.8380017
32	3	10	9.7135496
33	3	11	13.571643
34	4	1	11.523479
35	4	2	10.136123
36	4	3	9.5125446
37	4	4	9.7088156
38	4	5	8.4224701
39	4	6	7.5039701
40	4	7	6.9163494
41	4	8	7.0015225
42	4	9	7.1468573
43	4	10	7.9771695
44	4	11	10.019558
