Point	Row	Column	Zr_at
1	1	1	0.10396744
2	1	2	0.10313191
3	1	3	0.10071769
4	1	4	0.099047124
5	1	5	0.095476829
6	1	6	0.091342963
7	1	7	0.090301007
8	1	8	0.089083619
9	1	9	0.091798551
10	1	10	0.089004934
11	1	11	0.088497028
12	2	1	0.11790951
13	2	2	0.119437
14	2	3	0.12371454
15	2	4	0.11990681
16	2	5	0.11673595
17	2	6	0.11424145
18	2	7	0.11039302
19	2	8	0.10789805
20	2	9	0.10734548
21	2	10	0.098586231
22	2	11	0.096331686
23	3	1	0.10766128
24	3	2	0.11009455
25	3	3	0.11664026
26	3	4	0.11682126
27	3	5	0.11582716
28	3	6	0.11648323
29	3	7	0.11370937
30	3	8	0.11331519
31	3	9	0.11170559
32	3	10	0.10902594
33	3	11	0.10822759
34	4	1	0.089654267
35	4	2	0.092139818
36	4	3	0.096394084
37	4	4	0.097929545
38	4	5	0.097418286
39	4	6	0.09612634
40	4	7	0.10075297
41	4	8	0.10335197
42	4	9	0.0996788
43	4	10	0.10191657
44	4	11	0.10248069
