Point	Row	Column	PeakArea_110
1	1	1	18.48082
2	1	2	17.679792
3	1	3	17.190037
4	1	4	16.852201
5	1	5	16.75149
6	1	6	17.71595
7	1	7	18.012167
8	1	8	18.525158
9	1	9	19.937223
10	1	10	21.391823
11	1	11	23.894567
12	2	1	14.89275
13	2	2	13.563666
14	2	3	13.021566
15	2	4	12.572579
16	2	5	12.443726
17	2	6	12.992043
18	2	7	13.220796
19	2	8	13.49002
20	2	9	14.464716
21	2	10	15.774209
22	2	11	17.631042
23	3	1	16.558748
24	3	2	15.165073
25	3	3	14.32507
26	3	4	13.650745
27	3	5	13.131302
28	3	6	12.820746
29	3	7	12.870769
30	3	8	13.15722
31	3	9	13.751319
32	3	10	14.732336
33	3	11	15.897376
34	4	1	23.642363
35	4	2	22.237177
36	4	3	20.894051
37	4	4	19.992224
38	4	5	18.595793
39	4	6	17.988398
40	4	7	17.304197
41	4	8	17.061726
42	4	9	16.682894
43	4	10	16.879913
44	4	11	17.331326
