Point	Row	Column	Pos_110
1	1	1	30.675602
2	1	2	30.615967
3	1	3	30.559504
4	1	4	30.517179
5	1	5	30.490231
6	1	6	30.468836
7	1	7	30.459026
8	1	8	30.450527
9	1	9	30.455839
10	1	10	30.476765
11	1	11	30.498907
12	2	1	30.55596
13	2	2	30.502542
14	2	3	30.452585
15	2	4	30.424553
16	2	5	30.396959
17	2	6	30.379454
18	2	7	30.361727
19	2	8	30.358484
20	2	9	30.365299
21	2	10	30.368336
22	2	11	30.377995
23	3	1	30.425888
24	3	2	30.393923
25	3	3	30.368807
26	3	4	30.349745
27	3	5	30.329247
28	3	6	30.313955
29	3	7	30.31131
30	3	8	30.300343
31	3	9	30.305796
32	3	10	30.30698
33	3	11	30.310482
34	4	1	30.424944
35	4	2	30.395803
36	4	3	30.371723
37	4	4	30.350185
38	4	5	30.333508
39	4	6	30.324062
40	4	7	30.327293
41	4	8	30.329668
42	4	9	30.339909
43	4	10	30.355616
44	4	11	30.368593
