Point	Row	Column	FWHM_110
1	1	1	0.50022125
2	1	2	0.49597776
3	1	3	0.52383018
4	1	4	0.55288744
5	1	5	0.58843589
6	1	6	0.58419484
7	1	7	0.58514398
8	1	8	0.57594478
9	1	9	0.54998875
10	1	10	0.502294
11	1	11	0.46507508
12	2	1	0.50259852
13	2	2	0.54599804
14	2	3	0.58286786
15	2	4	0.59448397
16	2	5	0.60479355
17	2	6	0.6148212
18	2	7	0.60172015
19	2	8	0.59642458
20	2	9	0.55898744
21	2	10	0.50373119
22	2	11	0.47041464
23	3	1	0.46282837
24	3	2	0.51570988
25	3	3	0.55185032
26	3	4	0.56722152
27	3	5	0.57196891
28	3	6	0.58191216
29	3	7	0.57119554
30	3	8	0.55112171
31	3	9	0.50232029
32	3	10	0.47332218
33	3	11	0.4522734
34	4	1	0.4497219
35	4	2	0.45706618
36	4	3	0.46613073
37	4	4	0.46343696
38	4	5	0.46518752
39	4	6	0.4636009
40	4	7	0.45875385
41	4	8	0.45459709
42	4	9	0.44174811
43	4	10	0.42193112
44	4	11	0.43438843
