Point	Row	Column	a_Ang
1	1	1	4.1168466
2	1	2	4.1246734
3	1	3	4.1321125
4	1	4	4.1377068
5	1	5	4.1412768
6	1	6	4.1441159
7	1	7	4.1454186
8	1	8	4.1465487
9	1	9	4.1458426
10	1	10	4.1430631
11	1	11	4.1401267
12	2	1	4.1325798
13	2	2	4.1396446
14	2	3	4.146275
15	2	4	4.1500049
16	2	5	4.1536832
17	2	6	4.1560202
18	2	7	4.15839
19	2	8	4.1588235
20	2	9	4.1579123
21	2	10	4.157506
22	2	11	4.1562152
23	3	1	4.149827
24	3	2	4.1540885
25	3	3	4.157443
26	3	4	4.1599927
27	3	5	4.1627383
28	3	6	4.1647887
29	3	7	4.165144
30	3	8	4.1666164
31	3	9	4.165884
32	3	10	4.1657252
33	3	11	4.1652551
34	4	1	4.1499529
35	4	2	4.1538372
36	4	3	4.157053
37	4	4	4.159934
38	4	5	4.1621671
39	4	6	4.1634336
40	4	7	4.1630001
41	4	8	4.1626821
42	4	9	4.1613097
43	4	10	4.1592073
44	4	11	4.1574717
