Point	Row	Column	MaxInt_111
1	1	1	1484.4644
2	1	2	1778.3237
3	1	3	2133.8301
4	1	4	2587.2256
5	1	5	2820.7842
6	1	6	2882.8469
7	1	7	2852.2219
8	1	8	2542.4241
9	1	9	2020.3398
10	1	10	1372.8688
11	1	11	943.58691
12	2	1	2259.8945
13	2	2	2744.0898
14	2	3	2991.5715
15	2	4	3288.8694
16	2	5	3464.4346
17	2	6	3356.3447
18	2	7	3067.698
19	2	8	2755.262
20	2	9	2140.1775
21	2	10	1360.7441
22	2	11	783.4093
23	3	1	1486.2205
24	3	2	1988.142
25	3	3	2290.3865
26	3	4	2435.4822
27	3	5	2579.3096
28	3	6	2445.0911
29	3	7	2175.8328
30	3	8	1832.5096
31	3	9	1286.8766
32	3	10	789.81403
33	3	11	489.73444
34	4	1	565.71259
35	4	2	666.75574
36	4	3	812.9845
37	4	4	881.66016
38	4	5	929.6665
39	4	6	863.93726
40	4	7	831.01367
41	4	8	677.76477
42	4	9	590.8266
43	4	10	529.97394
44	4	11	437.90045
