Point	Row	Column	110_s_MaxIntensity
1	1	1	0.58911133
2	1	2	0.64526302
3	1	3	0.6988976
4	1	4	0.74779058
5	1	5	0.78959304
6	1	6	0.82202661
7	1	7	0.84311157
8	1	8	0.85140181
9	1	9	0.84617966
10	1	10	0.82756972
11	1	11	0.79654372
12	2	1	0.68081772
13	2	2	0.74848062
14	2	3	0.81343263
15	2	4	0.8729201
16	2	5	0.92399907
17	2	6	0.96378249
18	2	7	0.98973793
19	2	8	1
20	2	9	0.99363357
21	2	10	0.97078925
22	2	11	0.93271273
23	3	1	0.67693329
24	3	2	0.74362332
25	3	3	0.80752623
26	3	4	0.86593866
27	3	5	0.91598028
28	3	6	0.95483446
29	3	7	0.98003799
30	3	8	0.98978335
31	3	9	0.98317367
32	3	10	0.96037263
33	3	11	0.92261237
34	4	1	0.57947665
35	4	2	0.63334465
36	4	3	0.68456262
37	4	4	0.73094684
38	4	5	0.77036476
39	4	6	0.80066919
40	4	7	0.82003176
41	4	8	0.8271327
42	4	9	0.82133824
43	4	10	0.80280226
44	4	11	0.7724694
