Point	Row	Column	Ratio_200_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	0.092642106
18	2	7	
19	2	8	0.067529865
20	2	9	0.085096642
21	2	10	0.082876623
22	2	11	0.090169072
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	0.12266779
28	3	6	
29	3	7	
30	3	8	
31	3	9	0.10722905
32	3	10	0.10366666
33	3	11	0.15599504
34	4	1	
35	4	2	0.25193894
36	4	3	
37	4	4	0.22257389
38	4	5	
39	4	6	0.23223691
40	4	7	0.22284952
41	4	8	0.23985334
42	4	9	
43	4	10	
44	4	11	0.21098547
