Point	Row	Column	Norm_d
1	1	1	0.13899387
2	1	2	0.23129675
3	1	3	0.32059488
4	1	4	0.39640978
5	1	5	0.47322607
6	1	6	0.52253652
7	1	7	0.5602898
8	1	8	0.56807172
9	1	9	0.55628335
10	1	10	0.51791352
11	1	11	0.46213123
12	2	1	0.30341327
13	2	2	0.43269905
14	2	3	0.56514382
15	2	4	0.69103962
16	2	5	0.79998487
17	2	6	0.89683336
18	2	7	0.97064507
19	2	8	0.99984592
20	2	9	1
21	2	10	0.9531551
22	2	11	0.88327312
23	3	1	0.24277684
24	3	2	0.37013656
25	3	3	0.50127125
26	3	4	0.62901622
27	3	5	0.75275445
28	3	6	0.84829354
29	3	7	0.9297328
30	3	8	0.98012209
31	3	9	0.9979201
32	3	10	0.96294051
33	3	11	0.90931523
34	4	1	0
35	4	2	0.079050787
36	4	3	0.17227843
37	4	4	0.26157656
38	4	5	0.34355503
39	4	6	0.41228145
40	4	7	0.48686349
41	4	8	0.5263117
42	4	9	0.54503441
43	4	10	0.54857856
44	4	11	0.51976281
