Point	Row	Column	Pos_111
1	1	1	37.79665
2	1	2	37.853161
3	1	3	37.881531
4	1	4	37.899761
5	1	5	37.897629
6	1	6	37.928371
7	1	7	37.951443
8	1	8	37.939453
9	1	9	37.925797
10	1	10	37.930256
11	1	11	37.912388
12	2	1	37.801727
13	2	2	37.767788
14	2	3	37.786831
15	2	4	37.790276
16	2	5	37.790016
17	2	6	37.832813
18	2	7	37.79422
19	2	8	37.811005
20	2	9	37.819229
21	2	10	37.826302
22	2	11	37.830219
23	3	1	37.864784
24	3	2	37.867382
25	3	3	37.878101
26	3	4	37.869267
27	3	5	37.9076
28	3	6	37.961456
29	3	7	37.97929
30	3	8	37.98061
31	3	9	37.965199
32	3	10	37.990826
33	3	11	38.043663
34	4	1	37.884003
35	4	2	37.913475
36	4	3	37.92712
37	4	4	37.948891
38	4	5	38.009834
39	4	6	38.014202
40	4	7	38.036865
41	4	8	38.023575
42	4	9	38.025169
43	4	10	38.012508
44	4	11	38.066486
