Point	Row	Column	Pos_110
1	1	1	30.724882
2	1	2	30.761984
3	1	3	30.78314
4	1	4	30.791073
5	1	5	30.785921
6	1	6	30.803265
7	1	7	30.817368
8	1	8	30.796028
9	1	9	30.790016
10	1	10	30.797489
11	1	11	30.784708
12	2	1	30.684885
13	2	2	30.676266
14	2	3	30.701704
15	2	4	30.704012
16	2	5	30.696432
17	2	6	30.722626
18	2	7	30.695807
19	2	8	30.696377
20	2	9	30.692938
21	2	10	30.70079
22	2	11	30.725229
23	3	1	30.732899
24	3	2	30.720024
25	3	3	30.729208
26	3	4	30.726784
27	3	5	30.74618
28	3	6	30.780464
29	3	7	30.809711
30	3	8	30.814013
31	3	9	30.798199
32	3	10	30.820499
33	3	11	30.829613
34	4	1	30.751354
35	4	2	30.741701
36	4	3	30.750671
37	4	4	30.769655
38	4	5	30.79858
39	4	6	30.813965
40	4	7	30.82509
41	4	8	30.806652
42	4	9	30.796074
43	4	10	30.810057
44	4	11	30.82807
