Point	Row	Column	FWHM_110
1	1	1	0.47404519
2	1	2	0.46965805
3	1	3	0.47010934
4	1	4	0.47500917
5	1	5	0.48066318
6	1	6	0.47541291
7	1	7	0.47075605
8	1	8	0.47714239
9	1	9	0.49609739
10	1	10	0.49378446
11	1	11	0.50543594
12	2	1	0.48518312
13	2	2	0.46000355
14	2	3	0.4551641
15	2	4	0.43915972
16	2	5	0.43173474
17	2	6	0.42030188
18	2	7	0.44038102
19	2	8	0.47740883
20	2	9	0.48372558
21	2	10	0.50419939
22	2	11	0.49897337
23	3	1	0.51462585
24	3	2	0.49761856
25	3	3	0.51033568
26	3	4	0.48048833
27	3	5	0.48897558
28	3	6	0.4759376
29	3	7	0.48786539
30	3	8	0.48617253
31	3	9	0.47942147
32	3	10	0.49019659
33	3	11	0.50478876
34	4	1	0.54696637
35	4	2	0.52686727
36	4	3	0.49729833
37	4	4	0.48772767
38	4	5	0.49601969
39	4	6	0.51028949
40	4	7	0.52139527
41	4	8	0.49699095
42	4	9	0.48979968
43	4	10	0.50711495
44	4	11	0.52778238
