Point	Row	Column	_s_Area
1	1	1	0.36594155
2	1	2	0.37171739
3	1	3	0.37806991
4	1	4	0.38636658
5	1	5	0.39395481
6	1	6	0.4011395
7	1	7	0.4056125
8	1	8	0.41271386
9	1	9	0.41810271
10	1	10	0.42296225
11	1	11	0.4313024
12	2	1	0.3689633
13	2	2	0.37415749
14	2	3	0.38243869
15	2	4	0.38972667
16	2	5	0.39816925
17	2	6	0.40380493
18	2	7	0.4081423
19	2	8	0.41828904
20	2	9	0.42212185
21	2	10	0.43011466
22	2	11	0.43511951
23	3	1	0.37402889
24	3	2	0.37914798
25	3	3	0.38650173
26	3	4	0.3955324
27	3	5	0.40237004
28	3	6	0.41011471
29	3	7	0.41599891
30	3	8	0.42241737
31	3	9	0.42424315
32	3	10	0.43382967
33	3	11	0.43918461
34	4	1	0.37897339
35	4	2	0.38922051
36	4	3	0.39225626
37	4	4	0.39797866
38	4	5	0.40624359
39	4	6	0.41398001
40	4	7	0.41658249
41	4	8	0.42066324
42	4	9	0.4267053
43	4	10	0.43081689
44	4	11	0.43704721
