Point	Row	Column	Fe_at
1	1	1	0.0060932995
2	1	2	0.0055769002
3	1	3	0.0046787998
4	1	4	0.0035839996
5	1	5	0.0044987001
6	1	6	0.0028883
7	1	7	0.0020752
8	1	8	0.0011799999
9	1	9	0.0027711
10	1	10	0.0052621006
11	1	11	0.0123801
12	2	1	0.0064663002
13	2	2	0.0059242998
14	2	3	0.0045925998
15	2	4	0.0037481997
16	2	5	0.0025073998
17	2	6	0.0024011002
18	2	7	0.0021174001
19	2	8	0.0016924002
20	2	9	0.0017850002
21	2	10	0.0037582004
22	2	11	0.0090009999
23	3	1	0.0067403
24	3	2	0.0057059992
25	3	3	0.0043712002
26	3	4	0.0040489002
27	3	5	0.0034118004
28	3	6	0.003147
29	3	7	0.0016732001
30	3	8	0.0013532998
31	3	9	0.0013480999
32	3	10	0.0033927998
33	3	11	0.0089276005
34	4	1	0.0063021998
35	4	2	0.0067667002
36	4	3	0.0058011995
37	4	4	0.0042543998
38	4	5	0.0034549001
39	4	6	0.0028731001
40	4	7	0.0026885001
41	4	8	0.0022340002
42	4	9	0.0018197
43	4	10	0.0055538998
44	4	11	0.0117359
