Point	Row	Column	Norm_Int110
1	1	1	19.399673
2	1	2	18.439445
3	1	3	18.138281
4	1	4	18.020498
5	1	5	17.663694
6	1	6	16.997704
7	1	7	16.989784
8	1	8	17.171791
9	1	9	16.744877
10	1	10	15.889062
11	1	11	15.339001
12	2	1	19.146292
13	2	2	20.176414
14	2	3	20.130632
15	2	4	20.434328
16	2	5	20.81216
17	2	6	20.611794
18	2	7	19.440073
19	2	8	17.53665
20	2	9	16.461359
21	2	10	15.419507
22	2	11	15.570318
23	3	1	17.183573
24	3	2	18.518064
25	3	3	17.592432
26	3	4	18.083509
27	3	5	18.04003
28	3	6	18.530357
29	3	7	16.777756
30	3	8	16.731808
31	3	9	17.146479
32	3	10	15.968662
33	3	11	14.614654
34	4	1	12.981228
35	4	2	14.805004
36	4	3	16.734348
37	4	4	16.282963
38	4	5	15.915229
39	4	6	15.197533
40	4	7	15.032955
41	4	8	16.199402
42	4	9	16.708586
43	4	10	15.404408
44	4	11	13.807468
