Point	Row	Column	110_s_Area
1	1	1	0.012186599
2	1	2	0.0111538
3	1	3	0.0093575995
4	1	4	0.0071679992
5	1	5	0.0089974003
6	1	6	0.0057766
7	1	7	0.0041503999
8	1	8	0.0023599998
9	1	9	0.0055422001
10	1	10	0.010524201
11	1	11	0.0247602
12	2	1	0.0129326
13	2	2	0.0118486
14	2	3	0.0091851996
15	2	4	0.0074963993
16	2	5	0.0050147995
17	2	6	0.0048022005
18	2	7	0.0042348001
19	2	8	0.0033848004
20	2	9	0.0035700004
21	2	10	0.0075164009
22	2	11	0.018002
23	3	1	0.0134806
24	3	2	0.011411998
25	3	3	0.0087424004
26	3	4	0.0080978004
27	3	5	0.0068236007
28	3	6	0.006294
29	3	7	0.0033464001
30	3	8	0.0027065997
31	3	9	0.0026961998
32	3	10	0.0067855995
33	3	11	0.017855201
34	4	1	0.0126044
35	4	2	0.0135334
36	4	3	0.011602399
37	4	4	0.0085087996
38	4	5	0.0069098002
39	4	6	0.0057462002
40	4	7	0.0053770002
41	4	8	0.0044680005
42	4	9	0.0036394
43	4	10	0.0111078
44	4	11	0.023471801
