Point	Row	Column	FWHM_111
1	1	1	0.51993155
2	1	2	0.50660628
3	1	3	0.52024621
4	1	4	0.51945198
5	1	5	0.61243576
6	1	6	0.61355144
7	1	7	0.67577755
8	1	8	0.56756574
9	1	9	0.62758064
10	1	10	0.54551399
11	1	11	0.58100295
12	2	1	0.41869164
13	2	2	0.42140216
14	2	3	0.45021474
15	2	4	0.44170853
16	2	5	0.45092654
17	2	6	0.45894739
18	2	7	0.48173591
19	2	8	0.53598362
20	2	9	0.58725917
21	2	10	0.67116094
22	2	11	0.70133024
23	3	1	0.43767124
24	3	2	0.49827415
25	3	3	0.43209413
26	3	4	0.45673016
27	3	5	0.4578273
28	3	6	0.47076643
29	3	7	0.55469275
30	3	8	0.53058654
31	3	9	0.61936307
32	3	10	0.6595794
33	3	11	0.74761283
34	4	1	0.60375512
35	4	2	0.49607289
36	4	3	0.64174366
37	4	4	0.59816825
38	4	5	0.65878242
39	4	6	0.67494524
40	4	7	0.70488399
41	4	8	0.68721461
42	4	9	0.66392589
43	4	10	0.63477963
44	4	11	0.50254005
