Point	Row	Column	MaxInt_110
1	1	1	6779.4229
2	1	2	6544.2266
3	1	3	6259.1133
4	1	4	5886.1426
5	1	5	5466.0093
6	1	6	5191.7671
7	1	7	4725.7861
8	1	8	4277.0752
9	1	9	3728.9937
10	1	10	3151.4302
11	1	11	2627.7971
12	2	1	6594.0166
13	2	2	6032.3696
14	2	3	5729.4604
15	2	4	5539.5029
16	2	5	5439.5991
17	2	6	5360.3184
18	2	7	5078.0063
19	2	8	4669.4971
20	2	9	4292.4155
21	2	10	3667.0881
22	2	11	3065.5962
23	3	1	5401.2646
24	3	2	5176.7285
25	3	3	5176.7803
26	3	4	5130.0752
27	3	5	5035.5244
28	3	6	4926.7407
29	3	7	4705.9844
30	3	8	4288.811
31	3	9	3908.8245
32	3	10	3411.4612
33	3	11	2848.4807
34	4	1	4415.9658
35	4	2	4556.0703
36	4	3	4705.6318
37	4	4	4657.5796
38	4	5	4538.6689
39	4	6	4260.147
40	4	7	4037.928
41	4	8	3860.583
42	4	9	3597.011
43	4	10	3278.5706
44	4	11	2908.3108
