Point	Row	Column	Zr_at
1	1	1	0.54590267
2	1	2	0.54442209
3	1	3	0.54559731
4	1	4	0.54137844
5	1	5	0.53694296
6	1	6	0.53784913
7	1	7	0.53421742
8	1	8	0.52815205
9	1	9	0.52250856
10	1	10	0.51747799
11	1	11	0.5067206
12	2	1	0.57481223
13	2	2	0.57501447
14	2	3	0.57514477
15	2	4	0.5766533
16	2	5	0.57443213
17	2	6	0.57207501
18	2	7	0.56593895
19	2	8	0.56430894
20	2	9	0.56251281
21	2	10	0.55298728
22	2	11	0.54679197
23	3	1	0.57062793
24	3	2	0.57350904
25	3	3	0.57345855
26	3	4	0.57500488
27	3	5	0.57597107
28	3	6	0.57547951
29	3	7	0.5714528
30	3	8	0.57148278
31	3	9	0.56880718
32	3	10	0.56918436
33	3	11	0.56124818
34	4	1	0.54051602
35	4	2	0.54187596
36	4	3	0.54153299
37	4	4	0.543796
38	4	5	0.54694921
39	4	6	0.5497905
40	4	7	0.55326527
41	4	8	0.55500484
42	4	9	0.55590546
43	4	10	0.55829525
44	4	11	0.55980474
