Point	Row	Column	Ratio_111_110
1	1	1	0.095277309
2	1	2	0.089396656
3	1	3	0.088856004
4	1	4	0.084359311
5	1	5	0.078504227
6	1	6	0.079008661
7	1	7	0.071282439
8	1	8	0.086781636
9	1	9	0.088769361
10	1	10	0.1057625
11	1	11	0.10625855
12	2	1	0.14462081
13	2	2	0.14849481
14	2	3	0.14242229
15	2	4	0.13914618
16	2	5	0.13108924
17	2	6	0.10942882
18	2	7	0.10477228
19	2	8	0.092607044
20	2	9	0.087890655
21	2	10	0.075212017
22	2	11	0.085044257
23	3	1	0.13018847
24	3	2	0.13342787
25	3	3	0.13686383
26	3	4	0.13166255
27	3	5	0.11829221
28	3	6	0.11418937
29	3	7	0.097881377
30	3	8	0.095349588
31	3	9	0.08462669
32	3	10	0.094664663
33	3	11	0.091443636
34	4	1	0.0674842
35	4	2	0.071163841
36	4	3	0.077009
37	4	4	0.069526859
38	4	5	0.076994032
39	4	6	0.074922085
40	4	7	0.061725624
41	4	8	0.069613278
42	4	9	0.072400652
43	4	10	0.076538414
44	4	11	0.089610532
