Point	Row	Column	MaxInt_111
1	1	1	1483.0566
2	1	2	1477.6189
3	1	3	1488.9293
4	1	4	1445.5398
5	1	5	1470.1693
6	1	6	1442.2097
7	1	7	1490.8359
8	1	8	1433.166
9	1	9	1469.0233
10	1	10	1441.5133
11	1	11	1465.6841
12	2	1	1426.3059
13	2	2	1503.2793
14	2	3	1474.9794
15	2	4	1434.1968
16	2	5	1449.2594
17	2	6	1405.1779
18	2	7	1427.8647
19	2	8	1501.0096
20	2	9	1431.2703
21	2	10	1507.7145
22	2	11	1462.9701
23	3	1	1459.9088
24	3	2	1468.9932
25	3	3	1493.3219
26	3	4	1519.6816
27	3	5	1448.1061
28	3	6	1458.5638
29	3	7	1463.7461
30	3	8	1445.9692
31	3	9	1460.1478
32	3	10	1494.8438
33	3	11	1425.7498
34	4	1	1514.5675
35	4	2	1520.3121
36	4	3	1492.668
37	4	4	1459.4902
38	4	5	1462.8147
39	4	6	1469.1354
40	4	7	1434.8401
41	4	8	1489.7269
42	4	9	1453.0144
43	4	10	1405.4968
44	4	11	1476.2319
