Point	Row	Column	Frac_110
1	1	1	0.72376162
2	1	2	0.73255479
3	1	3	0.76712346
4	1	4	0.77464437
5	1	5	0.76856273
6	1	6	0.77500272
7	1	7	0.72394401
8	1	8	0.77485394
9	1	9	0.76769435
10	1	10	0.72642446
11	1	11	0.72506863
12	2	1	0.73400319
13	2	2	0.76650697
14	2	3	0.76971745
15	2	4	0.77198964
16	2	5	0.73029411
17	2	6	0.7776987
18	2	7	0.77388722
19	2	8	0.76703149
20	2	9	0.7752654
21	2	10	0.7662124
22	2	11	0.77205902
23	3	1	0.77616966
24	3	2	0.77280277
25	3	3	0.76895154
26	3	4	0.72895676
27	3	5	0.72718978
28	3	6	0.77460361
29	3	7	0.73321688
30	3	8	0.72675568
31	3	9	0.77310711
32	3	10	0.76967543
33	3	11	0.73245913
34	4	1	0.76935869
35	4	2	0.73050416
36	4	3	0.77034253
37	4	4	0.7746616
38	4	5	0.77348715
39	4	6	0.77273691
40	4	7	0.7780292
41	4	8	0.73006648
42	4	9	0.7346341
43	4	10	0.7825532
44	4	11	0.77208513
