Point	Row	Column	Pos_111
1	1	1	35.388702
2	1	2	35.384052
3	1	3	35.39056
4	1	4	35.383572
5	1	5	35.393852
6	1	6	35.389256
7	1	7	35.383205
8	1	8	35.392193
9	1	9	35.385887
10	1	10	35.389935
11	1	11	35.381195
12	2	1	35.390282
13	2	2	35.388916
14	2	3	35.399544
15	2	4	35.3909
16	2	5	35.397564
17	2	6	35.393879
18	2	7	35.396328
19	2	8	35.381317
20	2	9	35.386253
21	2	10	35.381554
22	2	11	35.383293
23	3	1	35.391758
24	3	2	35.390869
25	3	3	35.395611
26	3	4	35.390945
27	3	5	35.392311
28	3	6	35.390606
29	3	7	35.385078
30	3	8	35.389416
31	3	9	35.389015
32	3	10	35.38372
33	3	11	35.379375
34	4	1	35.392223
35	4	2	35.390579
36	4	3	35.392277
37	4	4	35.388275
38	4	5	35.387444
39	4	6	35.381649
40	4	7	35.381542
41	4	8	35.388184
42	4	9	35.375267
43	4	10	35.375816
44	4	11	35.376656
