Point	Rp
1	42790000
2	15144000
3	8340000
4	7563940
5	7648049
6	5113391
7	6629936
8	5331900
9	1.7805299e+08
10	7315600
11	6.8060998e+08
12	15213988
13	8350200
14	7353900
15	3202711
16	2251500
17	1325366
18	1939253
19	3300200
20	3925945
21	2.787e+08
22	1.5422701e+08
23	10607000
24	7299679
25	2636800
26	1195680
27	1782000.1
28	1312700
29	1057432
30	1840200
31	3363000.5
32	6913600
33	14319000
34	9419000
35	3019559
36	1570800
37	1011370
38	895000
39	774800
40	947393
41	1044400
42	2669163
43	3.8978499e+08
44	3349500
45	9848070
46	2968200
47	1760080
48	1050843
49	882042
50	778166
51	990200
52	1123680
53	1252632
54	2665196
55	2091100
56	9456700
57	3825800
58	1940100
59	1411600
60	1063250
61	892100
62	897349.38
63	972710
64	1275000
65	2309152
66	3549553
67	10412580
68	3330500
69	1404965
70	1634015.9
71	1111200
72	834700
73	784500
74	879563
75	1141500
76	2512373
77	4183900
78	23216000
79	2993950
80	1380790
81	904800
82	935223
83	524050
84	553130
85	757780
86	934512
87	2644081
88	3249500
89	7982114
90	3186933
91	1397043
92	1175300
93	911599
94	958054.38
95	779553
96	835410
97	1004038
98	4015120
99	13426000
100	5740790
101	6377990
102	1647288
103	927900
104	852046
105	633586
106	710000
107	824310
108	1697015
109	3711340
110	23772000
111	4301910
112	4620000
113	3697107
114	3002383
115	2059200
116	1368700
117	1482880
118	2517800
119	3281766
120	6498000
121	5378000
122	4683050
123	6301000
124	3123000
125	14445000
126	2.44152e+08
127	93757000
128	15870000
129	90430000
130	1.960798e+09
131	5689000
132	3472000
