Point	Rp
1	4522081
2	2309033
3	2059075
4	2649230
5	2863801
6	4645000
7	2701250
8	2296100
9	2235700
10	2717200
11	3910000
12	5088500
13	2728796
14	2256137
15	986220
16	473710
17	515340
18	444200
19	1247400
20	1243640
21	43983000
22	1442700
23	3125831
24	2072158
25	708850
26	358800
27	239840
28	242117
29	254458
30	277734
31	415561.19
32	1232600
33	1035100
34	2401864
35	960063
36	440760
37	287447
38	659800
39	213945
40	196162
41	230000.47
42	239009
43	745657
44	1.047072e+09
45	2542940
46	828780
47	369441
48	193144
49	187100.16
50	464200
51	133600.08
52	172756
53	273210
54	534989
55	1242753
56	3411870
57	822190
58	342193.75
59	210711.77
60	128804.28
61	121200.55
62	151930
63	187318
64	221440
65	460085
66	27883000
67	4109900
68	613496
69	272617.28
70	300800
71	502200
72	126001.95
73	94115
74	1224500
75	189707
76	485510
77	14325000
78	8987000
79	601994
80	301117.38
81	210608.75
82	136017
83	109202.68
84	122954
85	174890
86	216010
87	663900
88	1032800
89	21716000
90	695775
91	331700
92	245306
93	449800
94	174422
95	993500
96	191142
97	355060
98	958030
99	1991000
100	21141000
101	1166540
102	1349800
103	292933
104	229816
105	175720
106	181746
107	220562
108	449617
109	1216270
110	1.324702e+08
111	1606100
112	3599000
113	1191161
114	782925
115	544010
116	332244.41
117	377161
118	701431
119	1126500
120	1195600
121	3745000
122	2216000
123	62242000
124	17460700
125	5115400
126	2.180808e+08
127	9288000
128	4041500
129	1234100
130	1605700
131	2235300
132	2158200
