Point	Rp
1	1.4838e+08
2	47800000
3	25860000
4	19053932
5	20074000
6	17024344
7	13794710
8	16378000
9	14247000
10	18149000
11	22680000
12	49180000
13	19680000
14	19841000
15	7650100
16	3241941
17	2998597
18	3343083
19	8845587
20	11829800
21	11342000
22	13505000
23	25690000
24	14614838
25	4749600
26	2025300
27	1760680
28	3.26132e+08
29	1486631
30	2.2061501e+08
31	4377200
32	11564670
33	8825000
34	25653000
35	8212211
36	7.0605932e+09
37	1760969
38	1307500
39	1127288
40	1127600
41	874300
42	1513315
43	7873200
44	8567493
45	21140000
46	6645653
47	4229000
48	1784700
49	2073200
50	1348600
51	1317300
52	19755000
53	1.53004e+08
54	4203201
55	10327000
56	19099000
57	5918273
58	2431400
59	1606700
60	1820849
61	1662489
62	1432300
63	80541000
64	1483038
65	3779260
66	7745152
67	25567000
68	4579591
69	1758330
70	1737870
71	1686570
72	1617100
73	1372000
74	1543300
75	1531930
76	4460873
77	13120000
78	21812000
79	5844800
80	1886975
81	2031100
82	1557750
83	1529100
84	1666530
85	1139352
86	1775600
87	5992902
88	10048000
89	18800000
90	8864400
91	2714011
92	2102970
93	1362346
94	1821100
95	1472897
96	1612581.2
97	2517000
98	14853000
99	12945000
100	15222000
101	18795296
102	4698797
103	2664900
104	2244400
105	1873000
106	1903500
107	5.0518701e+08
108	6910000
109	18354000
110	12047000
111	14277000
112	11074000
113	10645654
114	8469000
115	5317835
116	4015400
117	4544000
118	9975000
119	14634736
120	13280000
121	19023000
122	20984000
123	17749000
124	13224680
125	12255579
126	12182000
127	12259000
128	11387409
129	9406367
130	11776000
131	14019000
132	18619000
