Point	ASR
1	528258.38
2	193256.48
3	154265.33
4	171600.66
5	156776.88
6	104187.66
7	121670.64
8	86921.609
9	73030.562
10	111438.48
11	171530.81
12	304127.91
13	149555.55
14	129028.24
15	67346.672
16	33516.055
17	28380.496
18	29241.92
19	48772.777
20	60651.504
21	56787.852
22	35826032
23	169945.75
24	127529.23
25	39958.039
26	22610.621
27	27800.328
28	14525.77
29	14957.424
30	16352.29
31	30654.064
32	58024.664
33	41225.137
34	157472.2
35	54616.543
36	21840.836
37	14591.215
38	14940.773
39	10310.698
40	244877.52
41	10832.674
42	15995.72
43	42012.797
44	55527.602
45	146674.55
46	40887.48
47	20161.895
48	14952.24
49	10972.632
50	14809.455
51	11002.477
52	9035.7676
53	13131.532
54	34797.258
55	31997.094
56	139792.91
57	34802.504
58	191878.89
59	86101.555
60	114341.31
61	12472.112
62	6811.2812
63	9468.4385
64	12156.068
65	30797.006
66	39585.855
67	168577.72
68	32030.176
69	38833.195
70	11548.484
71	8053.4658
72	5565.0752
73	6804.0557
74	6729.4683
75	9511.541
76	23613.133
77	42330.41
78	149951.23
79	17625262
80	13338.877
81	8612.9834
82	6860.29
83	6636.1113
84	7997.5459
85	33721.828
86	9339.9473
87	26516.965
88	43185.238
89	112937.02
90	35894.301
91	2963882.8
92	29816.83
93	6900.0625
94	6047.8354
95	6236.6846
96	6803.1133
97	20916.707
98	52236.789
99	45643.406
100	77129.18
101	77471.609
102	21038.6
103	16207.777
104	10839.381
105	18573.08
106	7361.4053
107	10838.8
108	22878
109	158304.72
110	68040.555
111	161854.72
112	67324.273
113	45756.066
114	36180.75
115	27385.24
116	17027.166
117	18656.281
118	33071.52
119	41843.309
120	101881.77
121	190883.02
122	887404.94
123	285099.28
124	418522.62
125	44097.398
126	41967.496
127	39661.41
128	53193.402
129	293173.19
130	829819.56
131	92456.992
132	98080.438
