Point	Fe_at
1	0.29243055
2	0.28490356
3	0.27338308
4	0.26390702
5	0.2508871
6	0.24096315
7	0.23293704
8	0.22548434
9	0.21580392
10	0.21014111
11	0.21103589
12	0.29226872
13	0.28515613
14	0.27440763
15	0.26499119
16	0.2526747
17	0.24231678
18	0.23293246
19	0.22398032
20	0.21359321
21	0.20652865
22	0.20572433
23	0.2921069
24	0.28540874
25	0.2754322
26	0.26607537
27	0.25446227
28	0.24367042
29	0.23292789
30	0.2224763
31	0.21138251
32	0.20291619
33	0.20041277
34	0.29194507
35	0.28566134
36	0.27645677
37	0.26715958
38	0.25624985
39	0.24502406
40	0.23292333
41	0.22097228
42	0.20917179
43	0.19930373
44	0.19510122
45	0.29178321
46	0.28591394
47	0.27748132
48	0.26824376
49	0.25803742
50	0.24637769
51	0.23291875
52	0.21946828
53	0.20696108
54	0.19569127
55	0.18978965
56	0.28107908
57	0.27543515
58	0.26728404
59	0.25839847
60	0.24816008
61	0.23712555
62	0.22401425
63	0.21154237
64	0.19943205
65	0.18884386
66	0.1832163
67	0.27037495
68	0.26495636
69	0.25708675
70	0.2485532
71	0.23828273
72	0.22787338
73	0.21510975
74	0.20361647
75	0.191903
76	0.18199645
77	0.17664295
78	0.25967082
79	0.25447759
80	0.24688946
81	0.23870791
82	0.22840537
83	0.21862124
84	0.20620525
85	0.19569057
86	0.18437396
87	0.17514905
88	0.17006961
89	0.24889621
90	0.24318893
91	0.23552558
92	0.22658733
93	0.21700577
94	0.20703772
95	0.19564712
96	0.18645239
97	0.17604801
98	0.168313
99	0.16391541
100	0.23812158
101	0.23190026
102	0.22416168
103	0.21446672
104	0.20560619
105	0.1954542
106	0.18508901
107	0.17721421
108	0.16772208
109	0.16147695
110	0.15776122
111	0.22734697
112	0.2206116
113	0.21279781
114	0.20234613
115	0.19420661
116	0.18387067
117	0.17453088
118	0.16797602
119	0.15939613
120	0.1546409
121	0.15160702
122	0.21657234
123	0.20932294
124	0.20143391
125	0.19022553
126	0.18280701
127	0.17228715
128	0.16397275
129	0.15873785
130	0.15107019
131	0.14780486
132	0.14545283
