Point	ASR
1	142065.25
2	72540.352
3	64687.695
4	83227.945
5	89968.883
6	145926.86
7	84862.203
8	72134.047
9	70236.531
10	85363.281
11	122836.17
12	159859.81
13	85727.586
14	70878.578
15	30982.988
16	14882.026
17	16189.87
18	13954.942
19	39188.195
20	39070.07
21	1381765.5
22	45323.719
23	98200.797
24	65098.707
25	22269.16
26	11272.025
27	7534.7896
28	7606.3232
29	7994.0269
30	8725.2637
31	13055.229
32	38723.238
33	32518.598
34	75456.719
35	30161.244
36	13846.872
37	9030.4062
38	20728.211
39	6721.2749
40	6162.606
41	7225.6719
42	7508.6826
43	23425.486
44	32894710
45	79888.75
46	26036.869
47	11606.321
48	6067.7925
49	5877.9199
50	14583.261
51	4197.167
52	5427.2852
53	8583.1377
54	16807.16
55	39042.203
56	107186.97
57	25829.838
58	10750.324
59	6619.6997
60	4046.5024
61	3807.6243
62	4773.0176
63	5884.7637
64	6956.7368
65	14453.984
66	875969.56
67	129116.21
68	19273.529
69	8564.5166
70	9449.9023
71	15777.065
72	3958.4646
73	2956.7075
74	38468.77
75	5959.8159
76	15252.733
77	450032.78
78	282334.69
79	18912.184
80	9459.873
81	6616.4634
82	4273.0967
83	3430.7004
84	3862.7104
85	5494.3267
86	6786.1484
87	20857.016
88	32446.342
89	682227.69
90	21858.398
91	10420.654
92	7706.5088
93	14130.872
94	5479.624
95	31211.697
96	6004.8979
97	11154.529
98	30097.375
99	62549.059
100	664163.56
101	36647.902
102	42405.184
103	9202.7539
104	7219.8765
105	5520.4019
106	5709.7144
107	6929.1538
108	14125.123
109	38210.215
110	4161670.5
111	50457.078
112	113065.82
113	37421.395
114	24596.293
115	17090.564
116	10437.757
117	11848.853
118	22036.086
119	35390.012
120	37560.852
121	117652.55
122	69617.633
123	1955388.5
124	548543.62
125	160704.89
126	6851204.5
127	291790.88
128	126967.36
129	38770.363
130	50444.512
131	70223.961
132	67801.797
