Point	Rp
1	2.1308e+08
2	44039000
3	37610000
4	57470000
5	49315000
6	69670000
7	59090000
8	28513688
9	23643254
10	18786000
11	25254000
12	55130000
13	33972836
14	49060000
15	27710000
16	29760000
17	24676100
18	16342000
19	28060000
20	21996000
21	15235000
22	17364044
23	32290000
24	36053000
25	20355000
26	16514000
27	12714400
28	13093002
29	11486000
30	9865000
31	11991500
32	12983238
33	7892000
34	13120428
35	21934916
36	14874717
37	10555510
38	8386000
39	10589000
40	8977546
41	1.12022e+08
42	4708
43	1.3790408e+08
44	18565300
45	51140000
46	14350000
47	15438087
48	15039000
49	23669000
50	14006000
51	44728904
52	50670080
53	1.7601262e+08
54	50697000
55	4581000
56	31980000
57	18399000
58	16319000
59	20554736
60	33587716
61	53605408
62	8.9942003e+08
63	25270330
64	34858992
65	18104008
66	14220000
67	35730000
68	19949000
69	11081570
70	17185650
71	68130000
72	22311550
73	19192000
74	8001928
75	6901700
76	14956201
77	15255638
78	26000000
79	17782900
80	10878464
81	8951000
82	7367264
83	7180000
84	6015624
85	5673320
86	4895000
87	14881950
88	17869000
89	20771000
90	14414466
91	9449000
92	7322800
93	6801900
94	6778000
95	6309000
96	7730000
97	7717468
98	12957000
99	9282079
100	19928000
101	18027000
102	7354001
103	5495454
104	5969569
105	4343200
106	4941863
107	4601550
108	6664410
109	13038000
110	13962000
111	16943000
112	15008000
113	15134000
114	12668800
115	10513000
116	6197000
117	10113714
118	56795300
119	20104002
120	91933672
121	3.2744e+08
122	1.0615e+08
123	20717000
124	17787252
125	23631000
126	5.9330016e+11
127	1.9192886e+08
128	69526760
129	47873260
130	22548240
131	52037220
132	1.0605e+08
