Point	Rp
1	56843420
2	25991000
3	18442972
4	20692700
5	9796200
6	10551025
7	9439276
8	13458000
9	21538000
10	14659000
11	17274000
12	30050000
13	14613548
14	19723176
15	7110402
16	1325937
17	2161003.8
18	1987420
19	3271440
20	6079586
21	17160000
22	15158000
23	24240000
24	20553772
25	7682769
26	3758725
27	2831889
28	1339700
29	2323086
30	2797220
31	36069000
32	8561400
33	8499000
34	16784090
35	7628041
36	5963100
37	3519530
38	3083008
39	1656252
40	2533817
41	1560178
42	2858125
43	5401106.5
44	7013000
45	23130000
46	8335900
47	84602000
48	2826683
49	3099017.2
50	2372097.8
51	2355654
52	1874669
53	2858000
54	3918730
55	4374000
56	8361732
57	3073357
58	11193000
59	2822750
60	2243531
61	1895499
62	2012000
63	1399864
64	2425451
65	2922029
66	6526973
67	19533020
68	4211214
69	2839300
70	3838600
71	4.8622499e+08
72	1539463
73	2032024
74	2412036
75	2353978
76	3622303
77	7797443
78	20872760
79	6419418
80	2371577
81	2354759
82	1661757
83	1898858.1
84	3026765
85	2097283
86	2521088
87	4905157
88	7512800
89	18683246
90	7403639
91	3437000
92	2809200
93	2175880
94	2953666
95	2012550
96	2389280
97	2353014.8
98	6694150
99	8642000
100	11432350
101	12242463
102	3944000
103	3179700
104	3135000
105	3215373
106	2637730
107	1927880
108	3715399
109	8528000
110	8060000
111	7688128
112	9906689
113	9152808
114	6621694
115	5132084
116	3756154
117	3926730
118	5505081
119	6920900
120	7122400
121	10687000
122	11912662
123	12076000
124	8399149
125	9493000
126	8842000
127	8665101
128	8897432
129	9329000
130	8235826
131	10113469
132	13781749
