Point	Co_at
1	0.17726359
2	0.1909624
3	0.20341447
4	0.21779899
5	0.23126402
6	0.24174364
7	0.25368032
8	0.26484585
9	0.27362829
10	0.28337869
11	0.28967884
12	0.17200567
13	0.18368143
14	0.19501874
15	0.20832534
16	0.2220207
17	0.23333538
18	0.24624527
19	0.25876901
20	0.26919979
21	0.27999327
22	0.28725809
23	0.16674775
24	0.17640044
25	0.18662301
26	0.1988517
27	0.21277736
28	0.2249271
29	0.23881023
30	0.25269216
31	0.26477131
32	0.27660787
33	0.28483737
34	0.16148981
35	0.16911945
36	0.17822729
37	0.18937805
38	0.20353404
39	0.21651883
40	0.23137519
41	0.24661535
42	0.26034281
43	0.27322245
44	0.28241661
45	0.1562319
46	0.16183847
47	0.16983156
48	0.1799044
49	0.1942907
50	0.20811057
51	0.22394013
52	0.24053851
53	0.2559143
54	0.26983705
55	0.27999586
56	0.17063764
57	0.17586677
58	0.18267649
59	0.19158639
60	0.2040078
61	0.21636966
62	0.23100153
63	0.2458716
64	0.26031184
65	0.27333573
66	0.28326917
67	0.18504336
68	0.18989508
69	0.19552141
70	0.20326836
71	0.21372491
72	0.22462875
73	0.23806292
74	0.2512047
75	0.26470938
76	0.2768344
77	0.28654245
78	0.19944911
79	0.20392339
80	0.20836635
81	0.21495035
82	0.22344202
83	0.23288783
84	0.2451243
85	0.2565378
86	0.26910692
87	0.28033304
88	0.28981575
89	0.21336314
90	0.22022454
91	0.2262319
92	0.2336864
93	0.2431469
94	0.25236031
95	0.26341027
96	0.27323449
97	0.28428718
98	0.29359609
99	0.30219784
100	0.22727716
101	0.2365257
102	0.24409746
103	0.25242245
104	0.26285177
105	0.27183279
106	0.28169623
107	0.28993118
108	0.29946741
109	0.30685914
110	0.31457993
111	0.24119119
112	0.25282687
113	0.26196301
114	0.27115852
115	0.28255665
116	0.29130527
117	0.29998219
118	0.30662784
119	0.31464764
120	0.32012218
121	0.32696202
122	0.25510523
123	0.26912802
124	0.27982858
125	0.28989455
126	0.30226153
127	0.31077775
128	0.31826815
129	0.32332453
130	0.3298279
131	0.33338523
132	0.33934411
