Point	Rp
1	1.7020342e+08
2	39163064
3	31285000
4	17283078
5	2226040
6	20742776
7	58463368
8	30000310
9	26173250
10	18827000
11	20400000
12	27002724
13	21113396
14	22076000
15	17395000
16	17007000
17	14500638
18	6627017
19	12954100
20	9197954
21	8488000
22	7367000
23	8923955
24	12642839
25	183537
26	18772190
27	6162000
28	7310100
29	3088075
30	3525004
31	4569700
32	6367000
33	4905904
34	10043700
35	5458194
36	5174600
37	3018200
38	2706860
39	1793847
40	1950296
41	2507795
42	2259920
43	4170180
44	3823082
45	8410032
46	3271173
47	2748000
48	2280000
49	1814120
50	1305300
51	1565900
52	2007200
53	2081600
54	4148161
55	2767000
56	8526300
57	7655000
58	2538194
59	1749811
60	3688
61	5.7670278e+08
62	9315000
63	7187812
64	3578400
65	4960100
66	6299400
67	13971000
68	4341992
69	3448016
70	3840000
71	3310700
72	2981492
73	6.2418432e+09
74	1695300
75	1585700
76	2303320
77	4160100
78	9735076
79	4622443
80	2218834
81	1944100
82	1328508
83	1065890
84	981600
85	837511
86	904520
87	2329870
88	6304105
89	9187560
90	3842975
91	1565148
92	1880400
93	2059100
94	1768040
95	1263300
96	1307080
97	1249723
98	4670040
99	50792000
100	4718890
101	5738190
102	1624276
103	2.147348e+09
104	1666000
105	1080730
106	945700
107	1242240
108	1441400
109	7.2039951e+09
110	4365680
111	13232000
112	4959400
113	3589624
114	3015320
115	2315200
116	1527735.4
117	1878750
118	3110400
119	3194956
120	5902200
121	10243000
122	6.5630024e+09
123	4074556
124	93913000
125	4297000
126	23974000
127	2510000
128	2910700
129	28760000
130	1.27236e+08
131	5907000
132	8666000
