Point	Rp
1	16023341
2	11052100
3	8228224
4	6806452
5	6269084
6	5150046
7	4890017
8	4540000
9	4600000
10	4597800
11	5273000
12	10994500
13	5513800
14	3736220
15	2250917
16	658086
17	933205
18	1147331
19	1313549
20	1.276177e+09
21	4026000
22	3015000
23	6161000
24	3715900
25	1356920
26	941600
27	727440
28	569077
29	518455
30	758282
31	859671
32	2177433
33	1987100
34	5353830
35	2398400
36	970380
37	847180
38	1285400
39	416500
40	496296
41	484331
42	547439
43	1550326
44	2343528
45	6000760
46	1734500
47	1267458.2
48	826560
49	796435
50	510130
51	424539
52	542090
53	712247
54	1188541
55	2659303
56	5347500
57	1533800
58	740291
59	703870
60	1012300
61	342146.31
62	384100.09
63	383360
64	413660
65	1096740
66	2476300
67	7311400
68	1668350
69	756200
70	424027
71	447860
72	241103
73	290298
74	464020
75	452630
76	1178146
77	2525601
78	4466400
79	917040
80	664810
81	469967
82	348590
83	1338200
84	399840
85	472000
86	645070
87	1150210
88	2461300
89	4814080.5
90	1733380
91	675262
92	560694
93	527370
94	415450
95	374122
96	440675
97	653030
98	1831186
99	6300000
100	3451120
101	3289580
102	867059
103	569454
104	513210
105	452960
106	478200
107	505612
108	966532
109	2334100
110	6398000
111	6743000
112	2828364
113	2982087.8
114	2238389
115	1677717
116	817910
117	1054110
118	1853402
119	1919132
120	19689000
121	3119500
122	3850300
123	2735191
124	1.372917e+10
125	1.28594e+08
126	5693000
127	2458200
128	2299200
129	2805700
130	14092000
131	2654900
132	4931000
