Point	Ba_at
1	0.46232545
2	0.46382475
3	0.46338135
4	0.46338281
5	0.46360332
6	0.46480879
7	0.46105874
8	0.46225226
9	0.46304658
10	0.45895222
11	0.45356673
12	0.46307525
13	0.4640044
14	0.4633725
15	0.46398509
16	0.4640235
17	0.46499655
18	0.46248057
19	0.46314982
20	0.46451202
21	0.46136263
22	0.45729011
23	0.46382508
24	0.46418402
25	0.46336368
26	0.46458739
27	0.46444368
28	0.4651843
29	0.46390244
30	0.4640474
31	0.46597743
32	0.46377307
33	0.4610135
34	0.46457487
35	0.46436366
36	0.46335486
37	0.4651897
38	0.46486387
39	0.46537206
40	0.46532428
41	0.46494496
42	0.46744287
43	0.46618351
44	0.46473691
45	0.4653247
46	0.46454328
47	0.46334603
48	0.465792
49	0.46528405
50	0.46555981
51	0.46674615
52	0.46584252
53	0.46890828
54	0.46859393
55	0.46846029
56	0.4650726
57	0.46312481
58	0.4629401
59	0.46423849
60	0.463934
61	0.46470049
62	0.4661448
63	0.46582291
64	0.46813983
65	0.4692423
66	0.46813703
67	0.46482053
68	0.46170634
69	0.46253416
70	0.46268502
71	0.46258393
72	0.46384114
73	0.46554348
74	0.4658033
75	0.46737137
76	0.46989071
77	0.46781376
78	0.46456847
79	0.46028787
80	0.46212822
81	0.46113151
82	0.46123388
83	0.46298179
84	0.46494216
85	0.46578366
86	0.46660289
87	0.47053909
88	0.46749049
89	0.46696302
90	0.4625861
91	0.46224198
92	0.46081656
93	0.459907
94	0.46107185
95	0.46160245
96	0.46188509
97	0.46206596
98	0.46491536
99	0.4621934
100	0.46935758
101	0.46488434
102	0.46235576
103	0.46050164
104	0.45858008
105	0.45916191
106	0.45826277
107	0.45798653
108	0.45752904
109	0.45929167
110	0.45689631
111	0.47175211
112	0.46718258
113	0.46246955
114	0.46018669
115	0.45725319
116	0.45725197
117	0.45492306
118	0.45408797
119	0.45299208
120	0.45366794
121	0.45159924
122	0.47414666
123	0.46948084
124	0.4625833
125	0.45987174
126	0.4559263
127	0.45534205
128	0.45158339
129	0.45018941
130	0.44845515
131	0.44804424
132	0.44630215
