Point	Row	Column	Norm_d
1	1	1	0.60011387
2	1	2	0.62329215
3	1	3	0.61467141
4	1	4	0.60312295
5	1	5	0.55351335
6	1	6	0.47926155
7	1	7	0.38671112
8	1	8	0.28919974
9	1	9	0.18623942
10	1	10	0.085393623
11	1	11	0
12	2	1	0.93119717
13	2	2	0.98316526
14	2	3	1
15	2	4	0.98178267
16	2	5	0.92257643
17	2	6	0.84108651
18	2	7	0.732108
19	2	8	0.60832793
20	2	9	0.47690305
21	2	10	0.34320104
22	2	11	0.21437865
23	3	1	0.82018542
24	3	2	0.88695508
25	3	3	0.92013663
26	3	4	0.92566687
27	3	5	0.9009434
28	3	6	0.82848078
29	3	7	0.74780416
30	3	8	0.63988286
31	3	9	0.51162982
32	3	10	0.39216006
33	3	11	0.2622804
34	4	1	0.40972674
35	4	2	0.4627521
36	4	3	0.49560833
37	4	4	0.50853938
38	4	5	0.52098244
39	4	6	0.5
40	4	7	0.44990242
41	4	8	0.38988289
42	4	9	0.31522447
43	4	10	0.24154197
44	4	11	0.14378659
