Point	Row	Column	d_um
1	1	1	0.16178
2	1	2	0.16463
3	1	3	0.16357
4	1	4	0.16215
5	1	5	0.15605
6	1	6	0.14692
7	1	7	0.13553999
8	1	8	0.12355
9	1	9	0.11089
10	1	10	0.09849
11	1	11	0.087990001
12	2	1	0.20249
13	2	2	0.20888001
14	2	3	0.21095
15	2	4	0.20871
16	2	5	0.20142999
17	2	6	0.19141001
18	2	7	0.17801
19	2	8	0.16279
20	2	9	0.14663
21	2	10	0.13019
22	2	11	0.11435
23	3	1	0.18884
24	3	2	0.19705001
25	3	3	0.20113
26	3	4	0.20181
27	3	5	0.19877
28	3	6	0.18986
29	3	7	0.17994
30	3	8	0.16666999
31	3	9	0.15090001
32	3	10	0.13620999
33	3	11	0.12024
34	4	1	0.13837001
35	4	2	0.14489
36	4	3	0.14893
37	4	4	0.15052
38	4	5	0.15205
39	4	6	0.14947
40	4	7	0.14331
41	4	8	0.13593
42	4	9	0.12675001
43	4	10	0.11769
44	4	11	0.10567
